story_id,prediction
0,consistent
1,consistent
2,consistent
3,consistent
4,consistent
5,consistent
6,consistent
7,consistent
8,contradict
9,consistent
10,contradict
11,consistent
12,contradict
13,consistent
14,contradict
15,contradict
16,contradict
17,contradict
18,consistent
19,consistent
20,contradict
21,consistent
22,consistent
23,consistent
24,consistent
25,consistent
26,consistent
27,consistent
28,contradict
29,consistent
30,consistent
31,contradict
32,consistent
33,consistent
34,consistent
35,consistent
36,contradict
37,consistent
38,consistent
39,consistent
40,consistent
41,consistent
42,consistent
43,consistent
44,consistent
45,consistent
46,consistent
47,consistent
48,consistent
49,consistent
50,consistent
51,consistent
52,consistent
53,consistent
54,consistent
55,consistent
56,consistent
57,consistent
58,consistent
59,consistent
